ident,iata_code,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,runway_count,max_runway,avg_runway
VTPH,HHQ,medium_airport,Hua Hin Airport,TH,12.6361999512,99.951499939,62.0,1,6890.0,6890.0
VTPI,TKH,medium_airport,Takhli Airport,TH,15.277299881,100.29599762,107.0,1,9843.0,9843.0
VTPM,MAQ,medium_airport,Mae Sot Airport,TH,16.699899673461914,98.54509735107422,690.0,1,4921.0,4921.0
VTPO,THS,medium_airport,Sukhothai Airport,TH,17.238000869750977,99.81819915771484,179.0,1,6890.0,6890.0
VTPP,PHS,medium_airport,Phitsanulok Airport,TH,16.782899856567383,100.27899932861328,154.0,1,9843.0,9843.0
VTPT,TKT,medium_airport,Tak Airport,TH,16.895999908447266,99.25330352783205,478.0,1,4921.0,4921.0
VTSB,URT,medium_airport,Surat Thani Airport,TH,9.13259983063,99.135597229,20.0,1,9843.0,9843.0
VTSC,NAW,medium_airport,Narathiwat Airport,TH,6.519919872283936,101.74299621582033,16.0,1,8202.0,8202.0
VTSE,CJM,medium_airport,Chumphon Airport,TH,10.7112,99.361702,18.0,1,6890.0,6890.0
VTSF,NST,medium_airport,Nakhon Si Thammarat Airport,TH,8.539620399475098,99.9447021484375,13.0,1,6890.0,6890.0
VTSG,KBV,medium_airport,Krabi Airport,TH,8.09912014008,98.9861984253,82.0,1,9842.0,9842.0
VTSH,SGZ,medium_airport,Songkhla Airport,TH,7.186560153961182,100.60800170898438,12.0,1,4954.0,4954.0
VTSK,PAN,medium_airport,Pattani Airport,TH,6.785459995269775,101.15399932861328,8.0,1,4593.0,4593.0
VTSM,USM,medium_airport,Samui Airport,TH,9.54779,100.061996,64.0,1,6759.0,6759.0
VTSN,,medium_airport,Cha Eian Airport,TH,8.47115039825,99.9555969238,44.0,1,7546.0,7546.0
VTSP,HKT,large_airport,Phuket International Airport,TH,8.1132,98.316902,82.0,1,9843.0,9843.0
VTSR,UNN,medium_airport,Ranong Airport,TH,9.77762,98.585503,57.0,1,6562.0,6562.0
