id,airport_ref,ident,length_ft,width_ft,runway_count,max_runway
243276,21379,KWMC,4800.0,75.0,2,7000.0
243277,21379,KWMC,7000.0,100.0,2,7000.0
254513,21380,KWP,10000.0,500.0,1,10000.0
246018,3951,KWRB,12001.0,300.0,1,12001.0
243180,3952,KWRI,10001.0,200.0,2,10001.0
243181,3952,KWRI,7140.0,150.0,2,10001.0
243047,3953,KWRL,2240.0,60.0,3,7005.0
243048,3953,KWRL,2501.0,60.0,3,7005.0
243049,3953,KWRL,7005.0,100.0,3,7005.0
245709,21381,KWSD,6125.0,75.0,1,6125.0
242636,21382,KWST,4010.0,100.0,2,4010.0
242637,21382,KWST,3960.0,75.0,2,4010.0
240838,21384,KWVI,4501.0,150.0,2,4501.0
240839,21384,KWVI,3999.0,100.0,2,4501.0
242476,21385,KWVL,5500.0,100.0,2,5500.0
242477,21385,KWVL,2301.0,150.0,2,5500.0
244311,3954,KWWD,4998.0,150.0,2,4998.0
244311,3954,KWWD,4998.0,150.0,2,4998.0
244312,3954,KWWD,4998.0,150.0,2,4998.0
244312,3954,KWWD,4998.0,150.0,2,4998.0
240368,21386,KWWR,2501.0,60.0,3,5502.0
240369,21386,KWWR,5500.0,150.0,3,5502.0
240370,21386,KWWR,5502.0,100.0,3,5502.0
243789,3955,KWYS,8399.0,150.0,1,8399.0
243667,21387,KX04,3165.0,100.0,1,3165.0
241836,21388,KX05,3700.0,75.0,1,3700.0
244352,21389,KX06,3700.0,75.0,2,3700.0
244353,21389,KX06,2400.0,100.0,2,3700.0
244680,21390,KX07,3999.0,100.0,2,3999.0
244680,21390,KX07,3999.0,100.0,2,3999.0
244681,21390,KX07,3999.0,75.0,2,3999.0
244681,21390,KX07,3999.0,75.0,2,3999.0
241973,21391,KX10,3750.0,50.0,1,3750.0
243602,21392,KX13,4000.0,75.0,1,4000.0
241486,21393,KX14,5254.0,75.0,1,5254.0
244363,21394,KX21,1805.0,100.0,2,3000.0
244364,21394,KX21,3000.0,70.0,2,3000.0
241275,21395,KX26,4024.0,150.0,4,4024.0
241276,21395,KX26,3200.0,75.0,4,4024.0
241277,21395,KX26,4000.0,150.0,4,4024.0
241278,21395,KX26,4000.0,150.0,4,4024.0
245909,21396,KX35,4941.0,100.0,2,4941.0
245910,21396,KX35,4702.0,60.0,2,4941.0
245760,21397,KX39,3541.0,50.0,1,3541.0
243610,21399,KX43,3760.0,50.0,2,3760.0
243611,21399,KX43,3250.0,50.0,2,3760.0
239882,21401,KX49,3115.0,100.0,1,3115.0
239841,21402,KX50,3845.0,60.0,1,3845.0
245413,21403,KX51,1000.0,500.0,3,4000.0
245412,21403,KX51,3000.0,75.0,3,4000.0
245414,21403,KX51,4000.0,100.0,3,4000.0
245617,21404,KX54,3013.0,60.0,2,3013.0
245618,21404,KX54,2700.0,150.0,2,3013.0
239880,21405,KX58,6300.0,75.0,1,6300.0
243258,21406,KX59,4000.0,75.0,2,4000.0
243258,21406,KX59,4000.0,75.0,2,4000.0
243259,21406,KX59,4000.0,75.0,2,4000.0
243259,21406,KX59,4000.0,75.0,2,4000.0
243961,21407,KX60,6390.0,150.0,2,6390.0
243962,21407,KX60,4330.0,100.0,2,6390.0
252884,21408,KXA,2000.0,2000.0,1,2000.0
240371,21409,KXBP,4004.0,60.0,1,4004.0
242708,21400,KXFL,5000.0,200.0,5,5000.0
