id,airport_ref,ident,length_ft,width_ft
251374,7170,0FL0,2300,100
252392,7171,0FL1,2575,50
255519,7172,0FL2,2000,100
265189,7173,0FL3,60,60
265190,7174,0FL4,100,100
257071,7175,0FL5,2000,100
258006,7176,0FL6,500,60
265191,7177,0FL7,35,35
254656,7178,0FL8,2000,100
246966,7179,0FL9,3400,116
246967,7179,0FL9,2750,100
248718,7180,0G0,2830,50
258129,7181,0G5,3000,2000
258130,7181,0G5,15000,1500
255596,7182,0GA0,2150,50
248220,7183,0GA1,2000,75
251274,7184,0GA2,2600,60
251617,7185,0GA3,2000,100
265192,7187,0GA5,100,100
250169,7188,0GA6,2100,150
256818,7190,0GA8,3000,100
254935,7191,0GA9,4400,100
254611,7192,0GE0,2000,30
247569,7193,0GE1,3000,40
247813,7194,0GE3,2000,50
247918,7195,0GE4,1045,80
247919,7195,0GE4,1000,80
248529,7196,0GE5,2500,200
254653,7197,0GE7,3000,90
246622,7198,0GE9,2000,100
254280,7199,0H7,2680,115
254904,7200,0I2,2941,40
265193,7201,0IA0,65,65
265194,7202,0IA1,42,42
265195,7203,0IA2,60,50
254023,7205,0IA4,3000,100
253536,7206,0IA5,2000,60
247907,7207,0IA6,2600,80
265196,7208,0IA7,145,145
265197,7208,0IA7,45,40
250218,7209,0IA8,1280,70
265198,7210,0IA9,50,50
246424,7211,0ID0,3000,80
246983,7212,0ID1,1900,75
239982,7213,0ID2,6507,75
256790,7214,0ID3,2640,50
252767,7215,0ID4,3150,80
258184,7216,0ID5,1460,40
265199,7217,0ID6,40,40
264065,45394,0ID7,2600,50
264122,45387,0ID8,800,50
329281,329280,0ID9,2308,60
254034,7218,0II0,1500,50
250691,7219,0II1,1300,60
256032,7220,0II2,1300,75
255594,7221,0II3,2400,50
248039,7223,0II6,3000,100
256172,7224,0II7,2500,100
252391,7225,0II8,1400,100
251973,7226,0II9,1600,75
265200,7227,0IL0,30,30
265201,7228,0IL1,90,90
269491,45950,0IL2,1600,100
248137,7229,0IL3,1800,200
265202,7230,0IL4,40,40
265203,7231,0IL6,40,40
265204,7231,0IL6,40,40
352230,352229,0IL7,2024,100
247133,7232,0IL8,1600,100
250309,7233,0IL9,2800,100
257145,7234,0IN1,2000,75
248425,7235,0IN2,1300,60
248426,7235,0IN2,2900,60
247570,7236,0IN3,2200,50
257210,7237,0IN4,2440,30
252634,7238,0IN5,1200,150
265205,7239,0IN7,50,50
265206,7240,0IN8,50,50
254296,7241,0IN9,2400,100
265207,7242,0IS0,40,40
265208,7243,0IS2,60,60
258097,7244,0IS3,2500,60
257908,7245,0IS4,2415,60
265209,7246,0IS6,100,100
265210,7248,0IS9,500,500
252204,7249,0J0,2915,80
255915,7250,0J8,3200,170
345694,345693,0JY9,50,40
251614,7251,0K6,1575,150
253340,7252,0KS0,2600,100
329967,7253,0KS2,2400,150
269492,7255,0KS4,2000,65
246829,7256,0KS6,2295,100
254714,7257,0KS7,2000,75
255892,7258,0KS8,1700,60
251105,7259,0KS9,3000,150
248030,7260,0KY0,2300,70
241681,7261,0KY1,3200,75
265211,7262,0KY2,35,35
265212,7263,0KY3,30,30
255400,7264,0KY4,1675,75
253252,7265,0KY5,2800,100
265213,7266,0KY6,80,20
249729,7267,0KY7,2200,60
256868,7268,0KY8,2300,60
251653,7270,0L4,6100,80
265214,7272,0L6,50,50
265215,7273,0LA0,25,25
252055,7274,0LA1,3000,100
254510,7276,0LA3,2700,180
265216,7277,0LA4,40,40
265217,7278,0LA5,400,400
265218,7280,0LA7,750,25
265219,7281,0LA8,50,50
257524,7282,0LA9,2200,100
253343,7283,0LL0,2030,70
246752,7284,0LL1,2500,120
247523,7285,0LL2,2600,75
254078,7286,0LL3,2000,100
254329,7287,0LL4,2143,100
249422,7288,0LL5,2230,70
249733,7289,0LL6,2600,70
265220,7290,0LL7,40,40
265221,7291,0LL9,100,100
257995,7292,0LS0,3000,144
265222,7295,0LS3,100,100
254153,7296,0LS4,1700,60
257974,7297,0LS5,650,250
252663,7299,0LS7,3000,100
248517,7300,0LS8,2500,140
252092,7301,0LS9,1530,75
265223,7302,0MA1,60,60
265224,7303,0MA2,60,60
265225,7304,0MA3,1600,1600
265226,7305,0MA4,40,40
265227,7306,0MA5,100,100
265228,7307,0MA6,50,50
265229,7309,0MA9,25,25
265230,7310,0MD0,79,64
255038,7311,0MD1,3000,50
252194,7312,0MD2,2200,30
269493,7312,0MD2,75,75
265231,7313,0MD3,90,90
251394,7314,0MD4,2600,100
